Date,S&P 500 Low Rate-Sensitivity 100 Index (USD) TR
2015-12-10,9280.32
2015-12-11,9193.93
2015-12-14,9255.85
2015-12-15,9348.22
2015-12-16,9528.18
2015-12-17,9439.22
2015-12-18,9296.93
2015-12-21,9350.45
2015-12-22,9413.51
2015-12-23,9522.23
2015-12-24,9519.35
2015-12-28,9529.84
2015-12-29,9617.04
2015-12-30,9570.17
2015-12-31,9476.1
2016-01-04,9364.09
2016-01-05,9457.06
2016-01-06,9411.62
2016-01-07,9268.63
2016-01-08,9187.61
2016-01-11,9219.97
2016-01-12,9237.44
2016-01-13,9092.85
2016-01-14,9183.67
2016-01-15,9083.42
2016-01-19,9154.98
2016-01-20,9008.12
2016-01-21,9042.69
2016-01-22,9220.39
2016-01-25,9136.18
2016-01-26,9244.03
2016-01-27,9181.96
2016-01-28,9201.89
2016-01-29,9385.95
2016-02-01,9449.56
2016-02-02,9374.5
2016-02-03,9432.46
2016-02-04,9383.27
2016-02-05,9256.44
2016-02-08,9136.54
2016-02-09,9119.6
2016-02-10,9145.82
2016-02-11,9056.82
2016-02-12,9139.28
2016-02-16,9248.54
2016-02-17,9337.53
2016-02-18,9386.28
2016-02-19,9390.69
2016-02-22,9498.23
2016-02-23,9479.43
2016-02-24,9518.87
2016-02-25,9634.15
2016-02-26,9518.19
2016-02-29,9485.15
2016-03-01,9600.34
2016-03-02,9635.15
2016-03-03,9650.01
2016-03-04,9686.38
2016-03-07,9697.37
2016-03-08,9671.88
2016-03-09,9707.56
2016-03-10,9744.19
2016-03-11,9845.1
2016-03-14,9846.09
2016-03-15,9829.15
2016-03-16,9906.48
2016-03-17,9960.5
2016-03-18,9940.86
2016-03-21,9934.5
2016-03-22,9915.99
2016-03-23,9912.62
2016-03-24,9906.59
2016-03-28,9930.27
2016-03-29,10062.42
2016-03-30,10066.35
2016-03-31,10080.82
2016-04-01,10137.94
2016-04-04,10115.37
2016-04-05,10024.37
2016-04-06,10082.39
2016-04-07,10014.47
2016-04-08,10053.33
2016-04-11,10011.66
2016-04-12,10086.38
2016-04-13,10064.05
2016-04-14,10038.47
2016-04-15,10090.58
2016-04-18,10141.91
2016-04-19,10168.8
2016-04-20,10028.79
2016-04-21,9852.6
2016-04-22,9897.3
2016-04-25,9914.27
2016-04-26,9919.47
2016-04-27,9967.07
2016-04-28,9933.05
2016-04-29,9913.81
2016-05-02,10012.25
2016-05-03,9995.43
2016-05-04,10054.99
2016-05-05,10045.17
2016-05-06,10069.58
2016-05-09,10136.75
2016-05-10,10190.79
2016-05-11,10080.67
2016-05-12,10124.84
2016-05-13,10053.76
2016-05-16,10125.2
2016-05-17,9973.91
2016-05-18,9849.31
2016-05-19,9868.29
2016-05-20,9882.42
2016-05-23,9854.46
2016-05-24,9955.63
2016-05-25,9965.87
2016-05-26,10028.31
2016-05-27,10060
2016-05-31,10069.67
2016-06-01,10091.22
2016-06-02,10117.19
2016-06-03,10183.77
2016-06-06,10164.49
2016-06-07,10190.27
2016-06-08,10235.48
2016-06-09,10296.81
2016-06-10,10253.39
2016-06-13,10212.71
2016-06-14,10230.22
2016-06-15,10221.44
2016-06-16,10273.65
2016-06-17,10263.18
2016-06-20,10270.01
2016-06-21,10308.97
2016-06-22,10290.61
2016-06-23,10346.17
2016-06-24,10242.65
